tier,key,category,apache-polaris,aws-glue,aws-s3tables,databricks-unity,google-lakehouse,microsoft-onelake,snowflake-horizon
endpoint,config,config,OK,OK,OK,OK,OK,OK,OK
endpoint,list_namespaces,namespace,OK,OK,OK,OK,OK,OK,OK
endpoint,list_namespaces_paged,namespace,OK,OK,OK,OK,OK,OK,OK
endpoint,list_namespaces_parent,namespace,OK,BAD_REQUEST,BAD_REQUEST,OK,OK,OK,OK
endpoint,load_namespace,namespace,OK,OK,OK,OK,OK,OK,OK
endpoint,head_namespace,namespace,OK,OK,OK,OK,OK,OK,OK
endpoint,list_tables,table,OK,OK,OK,OK,OK,OK,OK
endpoint,load_table,table,OK,OK,OK,OK,OK,OK,OK
endpoint,load_table_snapshots_all,table,OK,OK,OK,OK,OK,OK,OK
endpoint,head_table,table,OK,OK,OK,OK,OK,OK,OK
endpoint,load_credentials,credentials,OK,NOT_FOUND,NOT_FOUND,OK,BAD_REQUEST,OK,OK
endpoint,list_views,view,OK,HTTP_406,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,UNAUTHORIZED
endpoint,plan_table_scan,planning,NOT_FOUND,200_WITH_ERROR,NOT_FOUND,BAD_REQUEST,NOT_FOUND,METHOD_NOT_ALLOWED,NOT_FOUND
endpoint,report_metrics,telemetry,OK,200_WITH_ERROR,BAD_REQUEST,OK,OK,METHOD_NOT_ALLOWED,OK
endpoint,create_namespace,namespace,OK,OK,OK,OK,OK,NOT_FOUND,OK
endpoint,update_namespace_props,namespace,OK,OK,NOT_FOUND,BAD_REQUEST,OK,METHOD_NOT_ALLOWED,UNAUTHORIZED
endpoint,create_table,table,OK,OK,OK,OK,OK,NOT_FOUND,OK
endpoint,commit_table,commit,OK,OK,OK,OK,OK,NOT_FOUND,OK
endpoint,commit_remove_properties,commit,OK,OK,OK,OK,OK,NOT_FOUND,SERVER_ERROR
endpoint,commit_add_schema,commit,OK,OK,OK,OK,OK,NOT_FOUND,OK
endpoint,commit_set_current_schema,commit,OK,OK,OK,OK,OK,NOT_FOUND,CONFLICT
endpoint,commit_upgrade_format_version,commit,OK,OK,OK,OK,OK,NOT_FOUND,BAD_REQUEST
endpoint,commit_transaction,commit,OK,200_WITH_ERROR,NOT_FOUND,NOT_FOUND,NOT_FOUND,METHOD_NOT_ALLOWED,UNAUTHORIZED
endpoint,rename_table,table,OK,HTTP_406,OK,OK,NOT_FOUND,NOT_FOUND,OK
endpoint,drop_table_purge,table,OK,BAD_REQUEST,OK,OK,OK,INDETERMINATE,OK
